,relevant,title,authors,url,venue,year,keywords,abstract
0,,Systematic Mutation-Based Evaluation of the Soundness of Security-Focused Android Static Analysis Techniques.,"Amit Seal Ami,Kaushal Kafle,Kevin Moran,Adwait Nadkarni,Denys Poshyvanyk",https://doi.org/10.1145/3439802,TOPS,2021,[],
1,,Analyzing Dynamic Code - A Sound Abstract Interpreter for Evil Eval.,"Vincenzo Arceri,Isabella Mastroeni",https://doi.org/10.1145/3426470,TOPS,2021,[],
2,,Friendly Fire - Cross-app Interactions in IoT Platforms.,"Musard Balliu,Massimo Merro,Michele Pasqua,Mikhail Shcherbakov",https://doi.org/10.1145/3444963,TOPS,2021,[],
3,,Attack Context Embedded Data Driven Trust Diagnostics in Smart Metering Infrastructure.,"Shameek Bhattacharjee,Venkata Praveen Kumar Madhavarapu,Simone Silvestri,Sajal K. Das 0001",https://doi.org/10.1145/3426739,TOPS,2021,[],
4,,One Size Does Not Fit All - A Longitudinal Analysis of Brazilian Financial Malware.,"Marcus Botacin,Hojjat Aghakhani,Stefano Ortolani,Christopher Kruegel,Giovanni Vigna,Daniela A. S. de Oliveira,Paulo Lício de Geus,André Grégio",https://doi.org/10.1145/3429741,TOPS,2021,[],
5,,On Generating Network Traffic Datasets with Synthetic Attacks for Intrusion Detection.,"Carlos Garcia Cordero,Emmanouil Vasilomanolakis,Aidmar Wainakh,Max Mühlhäuser,Simin Nadjm-Tehrani",https://doi.org/10.1145/3424155,TOPS,2021,[],
6,,Privacy-preserving Dynamic Symmetric Searchable Encryption with Controllable Leakage.,"Shujie Cui,Xiangfu Song,Muhammad Rizwan Asghar,Steven D. Galbraith,Giovanni Russello",https://doi.org/10.1145/3446920,TOPS,2021,[],
7,,An Extensive Formal Analysis of Multi-factor Authentication Protocols.,"Charlie Jacomme,Steve Kremer",https://doi.org/10.1145/3440712,TOPS,2021,[],
8,,Two-factor Password-authenticated Key Exchange with End-to-end Security.,"Stanislaw Jarecki,Mohammed Jubur,Hugo Krawczyk,Nitesh Saxena,Maliheh Shirvanian",https://doi.org/10.1145/3446807,TOPS,2021,[],
9,,The Android Platform Security Model.,"René Mayrhofer,Jeffrey Vander Stoep,Chad Brubaker,Nick Kralevich",https://doi.org/10.1145/3448609,TOPS,2021,[],
10,1,A Multi-view Approach to Preserve Privacy and Utility in Network Trace Anonymization.,"Meisam Mohammady,Momen Oqaily,Lingyu Wang 0001,Yuan Hong,Habib Louafi,Makan Pourzandi,Mourad Debbabi",https://doi.org/10.1145/3439732,TOPS,2021,[],
11,,Exploiting Mixed Binaries.,"Michalis Papaevripides,Elias Athanasopoulos",https://doi.org/10.1145/3418898,TOPS,2021,[],
12,,A Large-Scale Analysis of the Semantic Password Model and Linguistic Patterns in Passwords.,"Rafael Veras,Christopher Collins 0001,Julie Thorpe",https://doi.org/10.1145/3448608,TOPS,2021,[],
13,,Designing Strong Privacy Metrics Suites Using Evolutionary Optimization.,"Isabel Wagner,Iryna Yevseyeva",https://doi.org/10.1145/3439405,TOPS,2021,[],
447,,GraphBoot - Quantifying Uncertainty in Node Feature Learning on Large Networks.,"Cuneyt Gurcan Akcora,Yulia R. Gel,Murat Kantarcioglu,Vyacheslav Lyubchich,Bhavani M. Thuraisingham",https://doi.org/10.1109/TKDE.2019.2925355,TKDE,2021,"Uncertainty,Estimation,Reliability,Drugs,Data mining,Twitter","In recent years, as online social networks continue to grow in size, estimating node features, such as sociodemographics, preferences and health status, in a scalable and reliable way has become a primary research direction in social network mining. Although many techniques have been developed for estimating various node features, quantifying uncertainty in such estimations has received little attention. Furthermore, most existing methods study networks parametrically, which limits insights about necessary quantity of queried data, reliable feature estimation, and estimator uncertainty. Uncertainty quantification is critical for answering key questions, such as, given a limited availability of social network data, how much data should be queried from the network?, and which node features can be learned reliably? More importantly, how can we evaluate uncertainty of our estimators? Uncertainty quantification is not equivalent to network sampling but constitutes a key complementary concept to sampling and the associated reliability analysis. To our knowledge, this paper is the first work that sheds light on uncertainty quantification and uncertainty propagation in social network feature mining. We propose a novel non-parametric bootstrap method for uncertainty analysis of node features in social network mining, derive its asymptotic properties, and demonstrate its effectiveness with extensive experiments. Furthermore, we develop a new metric based on dispersion of estimations, enabling analysts to assess how much more information is needed for increasing prediction reliability based on the estimated uncertainty. We demonstrate the effectiveness of our new uncertainty quantification methodology with extensive experiments on real life social networks, and a case study of mental health on Twitter."
448,,Polygraph - A Plug-n-Play Framework to Quantify Application Anomalies.,"Yazeed Alabdulkarim,Marwan Almaymoni,Shahram Ghandeharizadeh",https://doi.org/10.1109/TKDE.2019.2939520,TKDE,2021,"Benchmark testing,Tools,Servers,Real-time systems,Schedules,Plugs,Law","Polygraph is a tool to quantify application anomalies attributed to violating atomicity, isolation, and linearizability properties of transactions. It is a plug-n-play framework that includes visualization tools to empower an experimentalist to (a) quickly incorporate Polygraph into an existing application or benchmark and (b) quantify the number of anomalies. We demonstrate Polygraph using existing benchmarks, including TPC-C, SEATS, TATP, YCSB, and BG. We highlight Polygraph as an on-line tool by showing it scales for almost all benchmarks to process their transaction log records faster than their rate of production."
449,,Evolutionary Clustering via Message Passing.,"Natalia M. Arzeno,Haris Vikalo",https://doi.org/10.1109/TKDE.2019.2954869,TKDE,2021,"Clustering algorithms,Heuristic algorithms,Clustering methods,Message passing,Bayes methods,Hidden Markov models,Inference algorithms","We are often interested in clustering objects that evolve over time and identifying solutions to the clustering problem for every time step. Evolutionary clustering provides insight into cluster evolution and temporal changes in cluster memberships while enabling performance superior to that achieved by independently clustering data collected at different time points. In this article we introduce evolutionary affinity propagation (EAP), an evolutionary clustering algorithm that groups data points by exchanging messages on a factor graph. EAP promotes temporal smoothness of the solution to clustering time-evolving data by linking the nodes of the factor graph that are associated with adjacent data snapshots, and introduces consensus nodes to enable cluster tracking and identification of cluster births and deaths. Unlike existing evolutionary clustering methods that require additional processing to approximate the number of clusters or match them across time, EAP determines the number of clusters and tracks them automatically. A comparison with existing methods on simulated and experimental data demonstrates effectiveness of the proposed EAP algorithm."
450,,Learning Spatiotemporal Latent Factors of Traffic via Regularized Tensor Factorization - Imputing Missing Values and Forecasting.,"Abdelkader Baggag,Sofiane Abbar,Ankit Sharma 0004,Tahar Zanouda,Abdulaziz Al-Homaid,Abhiraj Mohan,Jaideep Srivastava",https://doi.org/10.1109/TKDE.2019.2954868,TKDE,2021,"Roads,Tensile stress,Forecasting,Sensors,Urban areas,Junctions,Real-time systems","Intelligent transportation systems are a key component in smart cities, and the estimation and prediction of the spatiotemporal traffic state is critical to capture the dynamics of traffic congestion, i.e., its generation, propagation and mitigation, in order to increase operational efficiency and improve livability within smart cities. And while spatiotemporal data related to traffic is becoming common place due to the wide availability of cheap sensors and the rapid deployment of IoT platforms, the data still suffer some challenges related to sparsity, incompleteness, and noise which makes the traffic analytics difficult. In this article, we investigate the problem of missing data or noisy information in the context of real-time monitoring and forecasting of traffic congestion for road networks in a city. The road network is represented as a directed graph in which nodes are junctions (intersections) and edges are road segments. We assume that the city has deployed high-fidelity sensors for speed reading in a subset of edges; and the objective is to infer the speed readings for the remaining edges in the network; and to estimate the missing values in the segments for which sensors have stopped generating data due to technical problems (e.g., battery, network, etc.). We propose a tensor representation for the series of road network snapshots, and develop a regularized factorization method to estimate the missing values, while learning the latent factors of the network. The regularizer, which incorporates spatial properties of the road network, improves the quality of the results. The learned factors, with a graph-based temporal dependency, are then used in an autoregressive algorithm to predict the future state of the road network with a large horizon. Extensive numerical experiments with real traffic data from the cities of Doha (Qatar) and Aarhus (Denmark) demonstrate that the proposed approach is appropriate for imputing the missing data and predicting the traffic state. It is accurate and efficient and can easily be applied to other traffic datasets."
