,title,num_pages,start_page,end_page,year,num_authors,authors,extended paper,journal,conf,intro,related,body,exp,con
0,Spark Performance Optimization Analysis In Memory Management with Deploy Mode In Standalone Cluster Computing.,5,2049,2053,2020,3,"['Deleli Mesay Adinew', 'Zhou Shijie', 'Yongjian Liao']",10.1109/ICDE48307.2020.00242,,,,,,,
1,Picube for Fast Exploration of Large Datasets.,5,2069,2073,2020,1,['Wenxiao Fu'],10.1109/ICDE48307.2020.00246,,,,,,,
2,Implementation of physiological signal based emotion recognition algorithm.,5,2075,2079,2020,4,"['Cynthia Joesph', 'A. Rajeswari', 'B. Premalatha', 'C. Balapriya']",10.1109/ICDE48307.2020.9153878,,,,,,,
3,HomoPAI - A Secure Collaborative Machine Learning Platform based on Homomorphic Encryption.,5,1713,1717,2020,7,"['Qifei Li', 'Zhicong Huang', 'Wen-jie Lu', 'Cheng Hong', 'Hunter Qu', 'Hui He', 'Weizhe Zhang']",10.1109/ICDE48307.2020.00152,,,,,,,
4,Area Queries Based on Voronoi Diagrams.,5,2064,2068,2020,2,"['Yang Li', 'Gang Liu']",10.1109/ICDE48307.2020.00245,,,,,,,
5,Data Series Indexing Gone Parallel.,5,2059,2063,2020,1,['Botao Peng'],10.1109/ICDE48307.2020.00244,,,,,,,
6,Design of Database Systems with DRAM-only Heterogeneous Memory Architecture.,5,2054,2058,2020,1,['Yifan Qiao'],10.1109/ICDE48307.2020.00243,,,,,,,
7,Neighborhood density correlation clustering.,5,2044,2048,2020,2,"['Zhenggang Wang', 'Liu Zhong']",10.1109/ICDE48307.2020.00241,,,,,,,
8,Speed Kit - A Polyglot &amp; GDPR-Compliant Approach For Caching Personalized Content.,6,1603,1608,2020,7,"['Wolfram Wingerath', 'Felix Gessert', 'Erik Witt', 'Hannes Kuhlmann', 'Florian Bücklers', 'Benjamin Wollmer', 'Norbert Ritter']",Context-Aware Encoding and Delivery in the Web,,ICWE (B),,,,,
9,Logan - A Distributed Online Log Parser.,6,1946,1951,2019,3,"['Amey Agrawal', 'Rohit Karlupia', 'Rajat Gupta']",,,,,,,,
10,Improving RDF Query Performance Using In-memory Virtual Columns in Oracle Database.,6,1814,1819,2019,3,"['Eugene Inseok Chong', 'Matthew Perry', 'Souripriya Das']",,,,,,,,
11,Explaining Results of Data-Driven Applications.,5,2081,2085,2019,1,['Nave Frost'],10.1109/ICDE.2019.00244,,,,,,,
12,Disambiguation and Result Expansion in Keyword Search Over Relational Databases.,5,2101,2105,2019,1,['Niousha Hormozi'],10.1109/ICDE.2019.00248,,,,,,,
13,Micro-Browsing Models for Search Snippets.,6,1904,1909,2019,3,"['Muhammad Asiful Islam', 'Ramakrishnan Srikant', 'Sugato Basu']",,,,,,,,
14,FAIR - Fraud Aware Impression Regulation System in Large-Scale Real-Time E-Commerce Search Platform.,6,1898,1903,2019,7,"['Zhao Li', 'Junshuai Song', 'Shichang Hu', 'Shasha Ruan', 'Long Zhang', 'Zehong Hu', 'Jun Gao']",PoisonRec: An Adaptive Data Poisoning Framework for Attacking Black-box Recommender Systems,,ICDE,,,,,
